Role,Companies,Location,Experience,Skills
Lead Data Scientist,Wells Fargo India Solutions Pvt. Ltd.,Bengaluru,6-10 Yrs,"Data analysis
Automation
data science
Analytical
Machine learning
Banking
SAS R
Predictive modeling"
Staff Data Scientist,Zendrive Inc,Bengaluru,4-7 Yrs,"Computer science
Interpersonal skills
data science
Machine learning
Signal processing
HTTP
Continuous improvement
Analytics"
Most urgent vacancy For Data Scientist-Mumbai,Genius Consultants Limited,Mumbai,5-10 Yrs,"Data Scientist
Machine Learning
sr.data scientist
Deep Learning"
Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
ML Engineer/Statistician/Data Scientist Pre - IPO Unicorn,CareerXperts Consulting,Bengaluru,3-5 Yrs,"Computer science
Analytical skills
Consulting
Machine learning
Data structures
Mathematics
Open source
big data"
Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
Data Scientist,Global Talent Pool,Bengaluru,2-4 Yrs,"Computer science
Data analysis
SAS
data science
data visualization
Ruby
SQL
Python"
Data Scientist,AXCESS CONSULTANCY SERVICES,Noida,0-3 Yrs,"Supply chain
Data analysis
Statistical analysis
Analytical
Machine learning
Data processing
Data mining
Operations"
Data Scientist - Artificial Intelligence/ Machine Learning- Noida,Shriv ComMedia Solutions Pvt. Ltd.,Noida(Sector-63 Noida),3-5 Yrs,"Data Science
Artificial Intelligence
Machine Learning
Deep Learning"
Data Scientist (E-commerce web Scraping)_Pune,Tops Office Pros Business Services Pvt. Ltd.,Pune(Kalyani Nagar),2-6 Yrs,"Data Science
scraping
e commerce scraping
Social Media
Web scraping
Text Analytics
Web Technologies
Web Crawling"
Data Scientist,RANG INFOSOFT PVT. LTD.,Pune,2-5 Yrs,"critical care
Consultant
medicine
ICU
hospital
resident"
Data Scientist,IoTian Technologies Pvt Ltd,Japan,1-4 Yrs,"Data Science
NLP
JLPT
Opencv
machine learning
Deep Learning"
"Data Scientist /Data Science Engineer with MNC, HYD/ BNG/ Delhi NCR",M Associates IT Services Pvt. Ltd.,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"python
c++
c
java
data science
Data science engineer
Data Scientist
linux"
Immediate Opening - Data Scientist For a Leading Company at Chennai,Inesh Management Consultancy,Chennai,2-5 Yrs,"Data Analysis
Analytics"
Sr.Data Scientist,Innefu Labs,Delhi,3-8 Yrs,Python
Data Scientist,Beno Staffing,Gurgaon,2-7 Yrs,"Computer science
Data analysis
PDF
Image processing
Staffing
Machine learning
Natural language processing
Analytics"
Associate Data Scientist | Gurgaon | 0.6 - 2 Years,XTAGE TECHNOLOGIES PRIVATE LIMITED,"Delhi NCR, Gurgaon",0-2 Yrs,"advanced analytics
modeling
market mix modeling
marketing analytics
regression
statistics"
Opening For Data Scientist in Axtria,Axtria India Private Limited,"Bengaluru, Gurgaon, Noida",7-12 Yrs,"forecasting.
market analytics
decision science
market mix model
SAS
pharma analytics
predictive analytics
statistical model"
Data Scientist - NLP,Novartis Healthcare Pvt. Ltd.,Hyderabad,6-10 Yrs,"Unix
Procurement
C++
Image processing
XML
Perl
Budgeting
MATLAB"
Data Scientist,HR Devi and Associates,Trivandrum,4-6 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
Hiring a Part-time Supporter For Data Analyst or Data scientist,Platinus Technologies Private Limited,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",5-10 Yrs,"Data Scientist
Data Analyst"
"Gramener is hiring ""Data Scientist Experts"" with Banking Domain",Gramener Technology - Data-science Firm,"Mumbai, Bengaluru, Hyderabad",5-8 Yrs,"Predictive Modeling
Business Insights
Data Architecture
Data Analytics
Machine Learning
Statistics"
Data Scientist,HR Devi and Associates,Bengaluru,5-7 Yrs,"Data scientist
GAM
DATA ANALYTICS
Linear Regression
GLM
Decission trees"
Data Scientist / Data Analyst,Bloom Consulting Services,Bengaluru,6-11 Yrs,"Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
Data Scientist,Valiance Solutions,Noida,4-9 Yrs,"Logistic regression
advanced analytics
Client satisfaction
Senior management
Neural networks
Consulting
Machine learning
Workflow"
Data Scientist,Ness Technologies,Bengaluru,5-10 Yrs,"Performance tuning
jQuery
Front end
System programming
Javascript
Data structures
HTML
WCF"
Data Scientist / Data Analyst,Bloom Consulting Services,Bengaluru,6-11 Yrs,"Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
Data Scientist,DigiLantern,Noida,7-10 Yrs,"Computer science
Programming
Manager Technology
PHP
Perl
Statistics
Analytics
SQL"
Data Scientist,Valiance Solutions,Noida,4-9 Yrs,"Logistic regression
advanced analytics
Client satisfaction
Senior management
Neural networks
Consulting
Machine learning
Workflow"
"Data Scientist, Advanced Analytics",ICL Systems,Gurgaon,5-10 Yrs,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
Data Scientist Senior Consultant,Talent Toppers,Chennai,6-11 Yrs,"Computer science
Business communication
Operations research
Business analytics
Analytical
Agile
Customer service
Econometrics"
Data Scientist - Delivery,Uniphore,Bengaluru,4-6 Yrs,"Telecom
SAS
Bfsi
Consulting
Data processing
Customer service
Data mining
Forecasting"
Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,"Scalability
Consulting
Analytics
Python"
Senior Data Scientist,Opscruise,Chennai,5-10 Yrs,"Assurance
Networking
GCP
Machine learning
Javascript
Instrumentation
Pattern recognition
Oracle"
Senior Data Scientist,CrossML,Chandigarh,5-9 Yrs,"Computer science
deep learning
data science
Machine learning
Information retrieval
Mathematics
Customer experience
Research"
Data Scientist -GCP,Oloop Technology Solutions,Hyderabad,8-12 Yrs,"Printing
GCP"
Data Scientist,Eyeo,Remote,4-9 Yrs,"IT Skills
Python
Cloud
work from home
Web technologies
Version control
Linux
HP data protector"
Data Scientist,ExecBoardinAsia,Chennai,5-10 Yrs,"Statistical analysis
data science
model development
Research
Monitoring"
Data Scientist,Optimum Solutions,Chennai,5-10 Yrs,"hive
spark
SCALA
Hadoop
Application development
Data analytics
Teradata
SQL"
DATA SCIENTIST,SGF Global,Pune,5-10 Yrs,"Computer science
SAS
Coding
Machine learning
Application development
Data mining
Machinery
Analytics"
Data Scientist,Aarch Solutions,Bengaluru,8-13 Yrs,"Unix
Supply chain
Computer science
C++
Linux
Machine learning
SPSS
Data mining"
Senior Data Scientist,GO-JEK,Bengaluru,5-10 Yrs,"deep learning
data science
spark
Diversity and Inclusion
Data collection
Manager Technology
Mathematics
Monitoring"
Sr. Data Scientist,EagleView,Bengaluru,5-9 Yrs,"Training
Computer vision
deep learning
Neural networks
Opencv
Machine learning
Cloud
Python"
Data Scientists,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,"hive
tableau
Consulting
SQL
Python"
Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,Consulting
Data Scientist - Machine Learning Engineer,Aera Technology,Pune,6-8 Yrs,"SAN
algorithms
Business operations
Computer science
Relationship Executive
apache
Linux
infrastructure"
Data Scientist - Delivery,Uniphore,Bengaluru,4-6 Yrs,"Telecom
SAS
Bfsi
Consulting
Data processing
Customer service
Data mining
Forecasting"
Data Scientist,Innominds Software Pvt Ltd,India,4-8 Yrs,"Mining
Digital media
Email
Graph
Algorithms
Incubator
Information retrieval
Natural language processing"
Data Scientist,Tech Ringers,Hyderabad,8-13 Yrs,"BPO
RF
Image processing
Staffing
Pharma
Artificial Intelligence
Consulting
Machine learning"
Data Scientist,Scalable Systems Pvt. Ltd.,bhubaneswar,4-7 Yrs,"Computer science
Policies
Data management
Machine learning
Service
Perl
SPSS
QlikView"
Data Scientist,Fitfyles LLP,Delhi,5-9 Yrs,"Logistic regression
Factor analysis
Algorithms
Simulation
Analytical
Tools
Healthcare
Forecasting"
"Data Scientist, Advanced",iXplore Technologies,Bengaluru,8-10 Yrs,"Graphics
Post production
Product engineering
data science
Enterprise Architect
System integration
Machine learning
Business intelligence"
Data Scientist,Mahajan Imaging,"Delhi, Bengaluru, Hyderabad",4-6 Yrs,"Medical imaging
PDF
Email
Imaging
Radiology
Clinical research
Doc
Mammography"
Data Scientist,Germane Analytics Pvt Ltd,Bengaluru,8-13 Yrs,"C++
Algorithms
Simulation
Coding
MySQL
Machine learning
Javascript
Business Objects"
SDE - Data Scientist,Zamroo,Noida,4-9 Yrs,"Computer science
Data analysis
Statistical analysis
Artificial Intelligence
Machine learning
Agile
model development
data visualization"
Senior Data Scientist / Algorithms Specialist,AmyLogic,Jaipur,4-6 Yrs,"Algorithms
SAS
Web analytics
MySQL
Tools
J2Ee
Informatica
Oracle"
Data Scientist,JIDOKA SYSTEMS PRIVATE LIMITED,Chennai,5-10 Yrs,"Computer science
Computer vision
C++
Prototype
Image processing
Machine learning
augmented reality
Information technology"
Senior Data Scientist,Cynosure Corporate Solutions,Gurgaon,5-10 Yrs,"Algorithms
Computer Science
Neural Networks
Product Engineering
Machine Learning
Statistics
Deep Learning
Linear Algebra"
Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Computer vision
deep learning
Data analysis
Neural networks
Machine learning
Presales
Natural language processing"
Data Scientist -GCP,Oloop Technology Solutions,Hyderabad,8-12 Yrs,"Printing
GCP"
Data Scientist - Machine Learning/Artificial Intelligence/ Python,Careerera,Bengaluru,4-6 Yrs,"Data analysis
Image processing
Coding
Bfsi
Machine learning
Data structures
CMMI
Customer support"
Data Scientist,Aarch Solutions,Bengaluru,8-13 Yrs,"Unix
Supply chain
Computer science
C++
Linux
Machine learning
SPSS
Data mining"
DATA SCIENTIST,SGF Global,Pune,5-10 Yrs,"Computer science
SAS
Coding
Machine learning
Application development
Data mining
Machinery
Analytics"
Data Scientist / Sr . Data Scientist,Piramal Healthcare,Vadodara,4-7 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Data analysis
Machine learning
linear regression
Presales
Healthcare
Anova
Business intelligence"
Web Analyst - Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-12 Yrs,"data science
SAS
Web analytics
Analytical
Social media
HTML
Omniture
Analytics"
Data Scientist,Symmetrical Management Consulting,Noida,5-10 Yrs,"Statistical analysis
SAS
Database management
Data collection
HTML
WPS
Manager Quality Control
Data mining"
Data Scientist,The Data Team,Chennai,10-20 Yrs,"IT Skills
Java
Python
Angularjs
Javascript
Big Data
Azure
freelance"
Data Scientist,Skills Hr,Pune,5-10 Yrs,"Supply chain
Microstrategy
Analytical skills
Simulation
MySQL
Supply chain solutions
Data mining
Econometrics"
DATA ARCHITECT/DATA SCIENTIST,AxmiYaN HR Solutions Private Limited,Gurgaon,5-10 Yrs,"Training
MS SQL
Database design
Analytical
Data Architect
Database
Data Analyst
Data mining"
DATA SCIENTIST,Alpha ICT LLP.,Pune,5-7 Yrs,"Computer science
Business objects
Data analysis
Google Analytics
Machine learning
TIBCO
Data structures
Firmware"
Sr. Data Scientist,SOULPAGE IT SOLUTIONS PRIVATE LIMITED,Hyderabad,5-8 Yrs,"Data Science
NLP
Big Data
AL / ML
Machine Learning
Deep Learning
Python"
Data Scientist,AppZen,Pune,4-6 Yrs,"Computer science
Computer vision
deep learning
Aerospace
Pharma
Machine learning
Data quality
Predictive modeling"
Data Scientist,"Coresight Research, Inc.",Mangalore,5-10 Yrs,"Analytical skills
Retail
Data analysis
Time management
Data modeling
Data collection
Research
SQL"
Sr. Data Scientist,Jet2 Travel Technologies Pvt. Ltd.,Pune,5-10 Yrs,"Data Science
Storyboarding
SQL Server
Machine Learning
Python"
Data Scientist,Near Pte. Ltd.,Bengaluru,6-9 Yrs,"Telecom
Publishing
data science
spark
Analytical
Intellectual property
Data quality
Research"
VP - Data Scientist,Posterity Consulting,haryana,7-12 Yrs,"Product management
Consumer research
Integrated marketing
Statistical analysis
Business Analyst
Analytical
Consulting
Product design"
Data Scientist,Healtheoz India,Noida,4-8 Yrs,"Computer science
Cloud computing
Logistic regression
PDF
Machine learning
linear regression
Predictive modeling
data visualization"
Data Scientist,JIDOKA SYSTEMS PRIVATE LIMITED,Chennai,5-10 Yrs,"Computer science
Computer vision
C++
Prototype
Image processing
Machine learning
augmented reality
Information technology"
Data Scientist / Sr . Data Scientist,Piramal Healthcare,Vadodara,4-7 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
Data Scientist,Tatras,Delhi,4-8 Yrs,"Unix
C++
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining"
Lead Machine Learning Engineer/ Data Scientist,whiz.ai,Pune,5-9 Yrs,"ERP
Analytical
XML
Machine learning
Data quality
MATLAB
Forecasting
SQL"
Sr. Consultant - Data Scientist - Bengaluru - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,14-16 Yrs,"Computer science
Text mining
deep learning
big data analytics
Artificial Intelligence
Consulting
Machine learning
HTML"
Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,5-10 Yrs,"Computer science
Qualitative research
Data analysis
Machine learning
HTML
Predictive modeling
SPSS
Multivariate analysis"
Senior and Chief Data Scientists,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,5-10 Yrs,"C++
Business objects
SAS
Cognos
HTML
Perl
Teradata
Open source"
Data Scientist | Kochi or Trivandrum,Experion Technologies (I) Pvt. Ltd.,"Trivandrum, Kochi",7-10 Yrs,"Java
Hive
Couchdb
Hadoop
MySQL
MS SQL Server
MongoDB
Spark"
Data Scientist - Machine Learning Engineer,Aera Technology,Pune,6-8 Yrs,"SAN
algorithms
Business operations
Computer science
Relationship Executive
apache
Linux
infrastructure"
Data Scientist,Skills Hr,Pune,5-10 Yrs,"Supply chain
Microstrategy
Analytical skills
Simulation
MySQL
Supply chain solutions
Data mining
Econometrics"
Snr Data Scientist - NBFC,Angel & Genie,Bengaluru,5-10 Yrs,"Data analysis
GIT
Analytical
Machine learning
Business intelligence
Analytics
Financial services
SQL"
DATA ARCHITECT/DATA SCIENTIST,AxmiYaN HR Solutions Private Limited,Gurgaon,5-10 Yrs,"Training
MS SQL
Database design
Analytical
Data Architect
Database
Data Analyst
Data mining"
Senior Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"data science
big data analytics
Analytical
Technical Lead
Data mining
Teradata
big data
Forecasting"
NLP & Text Mining Data Scientist,Valence Health,Pune,4-9 Yrs,"Unix
C++
Automation
data science
Linux
Agile
Data structures
Open source"
Sr. Data Scientist,SOULPAGE IT SOLUTIONS PRIVATE LIMITED,Hyderabad,5-8 Yrs,"Data Science
NLP
Big Data
AL / ML
Machine Learning
Deep Learning
Python"
Data Scientist Process Analytics Group,Tridiagonal Solutions Pvt. Ltd.,Pune,7-12 Yrs,"Mining
Computer science
Data management
Pharma
Consulting
Workflow
Data quality
Troubleshooting"
Sr. Data Scientist,Jet2 Travel Technologies Pvt. Ltd.,Pune,5-10 Yrs,"Data Science
Storyboarding
SQL Server
Machine Learning
Python"
Data Scientist,Germane Analytics Pvt Ltd,Bengaluru,8-13 Yrs,"C++
Algorithms
Simulation
Coding
MySQL
Machine learning
Javascript
Business Objects"
Data Scientist - AI ML Team,CustomerXPs Software Pvt Ltd,Bengaluru,8-13 Yrs,"Computer science
Automation
Artificial Intelligence
Machine learning
Data collection
Risk management
Monitoring
SQL"
VP - Data Scientist,Posterity Consulting,haryana,7-12 Yrs,"Product management
Consumer research
Integrated marketing
Statistical analysis
Business Analyst
Analytical
Consulting
Product design"
Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Computer vision
deep learning
Data analysis
Neural networks
Machine learning
Presales
Natural language processing"
Data Scientist - Analytics & BI,Golechha Capital,Hyderabad,4-9 Yrs,"SAS
Analytical
Management consulting
Capital market
Business intelligence
Data mining
Portfolio management
Financial services"
DATA SCIENTIST,Innefu Labs,Delhi,4-9 Yrs,"Business research
Manager Technology
Research"
Lead Machine Learning Engineer/ Data Scientist,whiz.ai,Pune,5-9 Yrs,"ERP
Analytical
XML
Machine learning
Data quality
MATLAB
Forecasting
SQL"
Data Scientist,Talent Zone Consultant,Bengaluru,4-6 Yrs,"4 plus years of experience of working in the areas related to data science including machine learning and text mining
Expert in R and Python with firm understanding of statistical modelling techniques and should be adept at handling unstructured data"
Data Scientist,Blue Jeans Network,Bengaluru,5-10 Yrs,"Computer science
Usage
spark
Machine learning
SCALA
Predictive modeling
data visualization
big data"
Data Scientist,ExecBoardinAsia,India,5-10 Yrs,"Redhat
Cloud
Architectural design
Infrastructure
Deployment"
Senior Data Scientist,Fractal.ai,Bengaluru,4-8 Yrs,"Process automation
Biometrics
customer analytics
Prototype
Diagnostics
Analytical
Artificial Intelligence
Machine learning"
Data Scientist,RANG INFOSOFT PVT. LTD.,Bengaluru,4-6 Yrs,"Computer science
Web analytics
Machine learning
Tools
Time
Perl
Data mining
Open source"
Immediate job Opening For Data Scientist@hyderabad,Idexcel Technologies Private Limited,Hyderabad,6-11 Yrs,"Data Science
R
Cloudera
Big Data
Spark
Impala
Python"
DATA SCIENTIST,Innefu Labs,Delhi,4-9 Yrs,"Business research
Manager Technology
Research"
